,LPS,NACE (DELETE!),GNFR,E-PRTR/PRTR Facility ID,Height class (TODO),Longitude,Latitude,NOx (as NO2) [kt],NMVOC [kt],SOx (as SO2) [kt],NH3 [kt],PM2.5 [kt],PM10 [kt],CO [kt],Pb [t],Cd [t],Hg [t],PCDD/ PCDF (dioxins/ furans) [g I-Teq],PAHs [t],HCB [kg],PCBs [kg]
0,"""Randow, Welse"" GmbH & Co. Agrarproduktions KG",146: Raising of swine/pigs,,12-20732150000,,14.1482672405572,53.2045496721409,,,,0.0105,,,,,,,,,,
1,1Heiz Energie GmbH Binnenhafen Eberswalde,3511: Production of electricity,A_PublicPower,12-20603020000,,13.7784713333368,52.8512636662931,0.167,,,,,,,,,,,,,
2,3M Technical Ceramics Zweigniederlassung der 3M Deutschland GmbH,2344: Manufacture of other technical ceramic products,B_Industry,06-09-763-0005-0001,,10.3290092134199,47.7055989655455,,,,,,,,,,,,,,
3,A & L Möller GmbH,146: Raising of swine/pigs,,03-86-45404287880,,7.68995879995552,52.9070304735483,,,,0.013,,,,,,,,,,
4,A + J Agrar GmbH & Co. KG,146: Raising of swine/pigs,,10002,,11.508174618792,51.2160458873275,,,,0.0132,,,,,,,,,,
5,A. F. Broermann,146: Raising of swine/pigs,,18327,,11.8380281765176,51.9990682443204,,,,0.0218,,,,,,,,,,
6,A.V.E Eigenbetrieb Kreis Paderborn Deponie Alte Schanze,3821: Treatment and disposal of non-hazardous waste,5.d,06-05-700-0148396,,8.66556757513202,51.7041077540658,,,,,,,,,,,,,,
7,ABS Agrar-Betriebs GmbH Schlettau & Co.Betriebs.KG,146: Raising of swine/pigs,,14-63-43363100000,,12.9804469643484,50.5486460421271,,,,0.012,,,,,,,,,,
8,ADM  Mainz GmbH,1041: Manufacture of oils and fats,B_Industry,07-04-6036271,,8.31727828789385,49.9738537563048,,,0.58,,,,,,,,,,,
9,ADM Hamburg Aktiengesellschaft Werk Hamburg,1041: Manufacture of oils and fats,B_Industry,06-02-B28903H003,,9.95292127256902,53.5186944326294,0.324,,2.5949999999999998,,,,,,,,,,,
10,ADM Spyck GmbH Werk Straubing,1041: Manufacture of oils and fats,B_Industry,06-09-263-8003-0001,,12.6596582600188,48.9019010569143,,,0.25,,,,,,,,,,,
11,AFB Agrar GmbH Flämingland Blönsdorf,146: Raising of swine/pigs,,12-50720100000,,12.8657396495509,51.9702805003965,,,,0.0101,,,,,,,,,,
12,AG Deutschenbora e.G.,146: Raising of swine/pigs,,14-72-63233432533,,13.3606273430436,51.0569364370646,,,,0.0132,,,,,,,,,,
13,AG der Dillinger Hüttenwerke,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,06-10-0050559,,6.75413698244508,49.3571721704399,1.655,0.755,,,,0.283,463.5,,,,,,,
14,AGR mbH,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-500-0414594,,7.16342556252108,51.5565161479206,1.07,,,,,,,,,,,,,
15,AGRÖ Horka GmbH (619),146: Raising of swine/pigs,,14-75-00147040000,,14.9083748510439,51.3198106132532,,,,0.0104,,,,,,,,,,
16,AHKW Geiselbullach,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-09-100-0607-0001,,11.3595056542461,48.2353370647988,0.101,,,,,,,,,,,,,
17,AHKW Neunkirchen,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-10-0078532,,7.1684029381679,49.3381416411041,,,,,,,,,,,,,,
18,AHSK Abfallentsorgungsbetrieb d.HSK Zentrale Reststoffdeponie des HSK,3822: Treatment and disposal of hazardous waste,5.d,06-05-900-0263770,,8.35115582062667,51.2742483968671,,,,,,,,,,,,,,
19,ALBA Electronics Recycling GmbH,3822: Treatment and disposal of hazardous waste,J_Waste,06-08-3476243,,8.92566411394518,49.1387067630663,,,,,,,,,,,,,,
